Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
3,2,85,53,318,-47,38,1,Baixio,co-dominante,suprimida por cípo
1,6,243,253,320,-47,21,1,Baixio,intermediaria,
4,4,77,153,324,-47,41.1,1,Baixio,intermediaria,
1,5,369,203,337,-47,56.4,1,Baixio,dominante,
4,7,141,303,350,-47,14.7,0,Baixio,intermediaria,20% luz
1,5,371,203,350,-47,14.8,0,Transição,intermediaria,
1,5,372,203,353,-47,12.7,0,Transição,intermediaria,
1,8,384,353,370,-47,32.7,1,Baixio,dominante,quebrada 
2,8,231,353,383,-47,16,0,Terra Firme,suprimida,
2,1,25,3,385,-47,11.3,0,Terra Firme,intermediaria,quebrada
4,7,148,303,390,-47,24.9,1,Baixio,co-dominante,cípo 
1,6,230,253,397,-47,41.2,1,Baixio,co-dominante,
1,6,417,253,398,-47,15.5,0,Baixio,intermediaria,
1,3,353,104,95,-46,26.2,1,Baixio,dominante,árvore 110?
3,3,129,104,118,-46,12.5,0,Baixio,suprimida,
3,3,127,104,132,-46,17,0,Baixio,suprimida,cípo
3,6,293,254,171,-46,10,0,Baixio,co-dominante,
4,2,24,54,200,-46,33.5,1,Terra Firme,co-dominante,
1,8,316,354,240,-46,20.1,1,Terra Firme,intermediaria,**
4,1,8,4,246,-46,27.5,1,Terra Firme,intermediaria,
2,5,142,204,286,-46,24.8,0,Terra Firme,intermediaria,
1,1,45,4,293,-46,27,1,Terra Firme,intermediaria,
1,1,44,4,296,-46,21.5,0,Terra Firme,dominante,
1,6,378,254,300,-46,22.9,0,Baixio,suprimida,
2,6,265,254,302,-46,40,1,Terra Firme,dominante,intermediaria por cípos
2,3,74,104,313,-46,22.4,1,Terra Firme,intermediaria,
4,2,40,54,324,-46,20.6,1,Terra Firme,suprimida,
3,2,86,54,330,-46,25.7,0,Baixio,co-dominante,
3,8,377,354,341,-46,22.4,0,Terra Firme,co-dominante,suprimida por cípo
2,2,49,55,15,-45,11.1,0,Terra Firme,suprimida,
2,2,48,55,20,-45,21.1,0,Terra Firme,intermediaria,andiroba?
4,8,180,355,25,-45,49.3,1,Terra Firme,co-dominante,
3,4,403,155,44,-45,11.5,0,Terra Firme,suprimida,
4,8,179,355,44,-45,17.2,0,Terra Firme,suprimida,
3,4,164,155,62,-45,37.2,1,Baixio,intermediaria,
3,7,344,305,66,-45,19.4,0,Terra Firme,suprimida,
3,1,13,5,80,-45,12.5,0,Baixio,suprimida,
2,3,60,105,95,-45,16.2,0,Terra Firme,suprimida,cípo
1,1,27,5,100,-45,10.5,0,Terra Firme,intermediaria,
1,2,395,55,100,-45,11.2,0,Terra Firme,suprimida,
1,2,394,55,102,-45,30.7,1,Terra Firme,co-dominante,
2,5,131,205,110,-45,22.5,1,Terra Firme,intermediaria,
1,3,114,105,120,-45,38,1,Baixio,co-dominante,
3,2,64,55,135,-45,17.9,0,Terra Firme,intermediaria,
2,4,109,155,135,-45,33.4,1,Terra Firme,intermediaria,
2,2,260,55,138,-45,40,1,Terra Firme,co-dominante,cípo
2,4,104,155,140,-45,20.6,1,Terra Firme,intermediaria,
2,4,101,155,168,-45,33.3,1,Terra Firme,suprimida,cípo
1,6,261,255,170,-45,34.5,1,Baixio,co-dominante,
1,4,164,155,170,-45,45,1,Baixio,co-dominante,
3,3,115,105,171,-45,22.3,1,Baixio,co-dominante,
2,4,100,155,178,-45,10.4,0,Terra Firme,intermediaria,cípo
4,8,173,355,180,-45,15.9,0,Terra Firme,intermediaria,
"1,1,33,5,180,-45,26.2,0,Terra Firme,intermediaria,""foi co-dominante, quebrada agora intermediaria"""
4,3,54,105,180,-45,33.5,1,Terra Firme,co-dominante,
3,7,328,305,225,-45,23.6,0,Baixio,co-dominante,suprimida por cípo
3,1,25,5,225,-45,25.3,1,Baixio,dominante,beira do igarape
1,5,210,205,230,-45,25.7,1,Baixio,co-dominante,
1,3,132,105,235,-45,13,0,Baixio,intermediaria,
1,1,36,5,235,-45,32,1,Terra Firme,co-dominante,com cípo 
1,5,211,205,240,-45,17.4,0,Baixio,suprimida,
3,7,321,305,240,-45,29.2,1,Baixio,co-dominante,
2,3,96,105,240,-45,57,1,Baixio,co-dominante,cípo
4,6,115,255,245,-45,12.1,0,Baixio,co-dominante,
1,3,134,105,250,-45,23.3,1,Baixio,co-dominante,
"3,6,302,255,250,-45,32.2,1,Transição,co-dominante,""tronco enchado, suprimida por cípo"""
3,7,411,305,252,-45,27.1,1,Transição,intermediaria,
1,8,318,355,253,-45,14.1,0,Baixio,intermediaria,**
2,5,139,205,254,-45,37.2,1,Terra Firme,intermediaria,
1,3,139,105,268,-45,25,1,Baixio,suprimida,
1,3,138,105,268,-45,56,1,Baixio,co-dominante,suprimida por cípo
3,2,73,55,270,-45,34.3,1,Baixio,co-dominante,
4,5,101,205,295,-45,14.2,0,Terra Firme,suprimida,
1,6,252,255,300,-45,60.2,1,Baixio,co-dominante,
1,5,215,205,300,-45,61,1,Baixio,dominante,
2,4,89,155,310,-45,38,1,Terra Firme,co-dominante,
1,3,357,105,310,-45,39.3,1,Transição,co-dominante,
3,1,40,5,320,-45,32.8,1,Baixio,co-dominante,suprimida por cípo
1,6,242,255,325,-45,12.5,0,Baixio,intermediaria,
2,7,222,305,327,-45,32.8,1,Baixio,intermediaria,
2,6,156,255,333,-45,11.2,0,Terra Firme,suprimida,
3,4,212,155,337,-45,18.1,0,Baixio,intermediaria,cípo
4,3,52,105,345,-45,17.9,0,Transição,suprimida,
1,3,356,105,345,-45,28.4,1,Terra Firme,co-dominante,
