Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
1,4,159,165,230,-35,12,0,Baixio,intermediaria,
1,3,126,115,230,-35,27.3,1,Baixio,intermediaria,
4,6,113,265,235,-35,13.4,0,Transição,intermediaria,
3,3,108,115,239,-35,26.8,1,Baixio,intermediaria,
4,6,114,265,240,-35,11.5,0,Transição,suprimida,
1,5,213,215,240,-35,29.7,1,Baixio,co-dominante,
3,3,107,115,240,-35,33.9,1,Baixio,co-dominante,medido em cima
"3,7,323,315,248,-35,29.7,1,Baixio,intermediaria,""quase co-dominante, cípo"""
3,1,27,15,255,-35,20.5,0,Baixio,co-dominante,
2,5,140,215,260,-35,11.9,0,Terra Firme,suprimida,
3,1,29,15,260,-35,19.7,0,Baixio,intermediaria,
4,4,64,165,264,-35,14.4,0,Terra Firme,intermediaria,
4,4,65,165,265,-35,18.5,0,Terra Firme,suprimida,
1,5,416,215,265,-35,18.7,0,Baixio,intermediaria,
3,7,319,315,274,-35,15.1,0,Terra Firme,intermediaria,
2,7,218,315,275,-35,38,1,Baixio,intermediaria,suprimida por cípos
4,1,10,15,280,-35,36.1,1,Terra Firme,intermediaria,
3,6,305,265,281,-35,15.3,0,Terra Firme,intermediaria,
4,5,183,215,290,-35,18.2,0,Terra Firme,intermediaria,
4,1,13,15,302,-35,22.3,0,Terra Firme,intermediaria,
2,5,144,215,306,-35,13.4,0,Terra Firme,suprimida,cípo
4,4,79,165,325,-35,26.6,1,Transição,intermediaria,
4,4,80,165,327,-35,16.7,0,Transição,intermediaria,
3,4,206,165,328,-35,41.5,1,Baixio,co-dominante,
3,4,207,165,332,-35,33.6,1,Baixio,co-dominante,
1,1,55,15,335,-35,15.2,0,Baixio,intermediaria,
1,8,335,365,340,-35,20.3,0,Baixio,intermediaria,**
3,3,391,115,340,-35,24.2,0,Baixio,intermediaria,atravessa a igarape
3,3,94,115,340,-35,24.4,1,Baixio,suprimida,rebrotando
2,3,75,115,345,-35,43.6,1,Terra Firme,dominante,
4,4,84,165,350,-35,17,0,Transição,intermediaria,
1,1,350,15,350,-35,23.7,1,Terra Firme,co-dominante,
4,6,121,265,350,-35,39.8,1,Baixio,co-dominante,
1,5,373,215,353,-35,11.1,0,Baixio,suprimida,
1,1,58,15,365,-35,11,0,Baixio,suprimida,
1,1,59,15,365,-35,11.8,0,Baixio,intermediaria,
1,6,236,265,365,-35,22.4,0,Baixio,intermediaria,
1,6,237,265,368,-35,36,1,Baixio,co-dominante,
1,8,334,365,370,-35,12.1,1,Baixio,suprimida,**
2,2,31,65,370,-35,18.8,0,Terra Firme,intermediaria,
2,4,84,165,373,-35,30.3,1,Terra Firme,intermediaria,
2,1,24,15,385,-35,19.3,0,Terra Firme,intermediaria,
1,2,60,65,395,-35,33.5,1,Terra Firme,co-dominante,
3,2,50,66,0,-34,18.4,0,Transição,co-dominante,
3,5,244,216,187,-34,20.7,0,Baixio,co-dominante,
3,4,204,166,295,-34,39.3,1,Baixio,co-dominante,
3,4,208,166,331,-34,14.2,0,Baixio,suprimida,
1,8,342,366,362,-34,13.1,0,Baixio,suprimida,**
3,5,245,217,182,-33,18.4,0,Baixio,intermediaria,cípo
3,2,48,68,25,-32,34.4,1,Terra Firme,dominante,
2,3,55,118,60,-32,12.1,0,Terra Firme,suprimida,
1,2,70,68,217,-32,50,1,Terra Firme,co-dominante,
3,7,314,318,291,-32,18.6,0,Terra Firme,intermediaria,
3,2,84,68,331,-32,34.8,1,Baixio,intermediaria,ilha
3,2,83,68,341,-32,18.7,0,Baixio,intermediaria,ilha
1,5,179,220,5,-30,15.5,0,Baixio,intermediaria,
"3,1,5,20,5,-30,31,1,Transição,dominante,""perto do igarape, suprimida por cípo"""
3,5,275,220,25,-30,13.2,0,Baixio,suprimida,
1,1,5,20,35,-30,23,1,Baixio,intermediaria,
1,3,96,120,35,-30,43,1,Baixio,co-dominante,
1,1,7,20,45,-30,23.7,0,Baixio,suprimida,
1,6,267,270,70,-30,53,1,Baixio,co-dominante,
3,1,11,20,70,-30,57.2,1,Baixio,co-dominante,
"3,6,285,270,85,-30,13.5,0,Baixio,intermediaria,""cupim em cima, rebrotando"""
1,8,304,370,86,-30,32.6,1,Terra Firme,co-dominante,**
3,6,289,270,88,-30,14.3,0,Baixio,intermediaria,suprimida por cípo
1,3,108,120,90,-30,22,0,Baixio,suprimida,
"1,8,305,370,90,-30,32.4,1,Terra Firme,co-dominante,""** suprimida por cípo, não produziu este ano"""
1,6,420,270,100,-30,24.2,1,Baixio,co-dominante,
1,2,398,70,105,-30,12.4,0,Terra Firme,co-dominante,
3,4,177,170,105,-30,27.4,1,Baixio,intermediaria,
2,7,206,320,107,-30,15.1,0,Terra Firme,intermediaria,
3,5,264,220,120,-30,12.7,0,Transição,suprimida,
1,3,113,120,120,-30,57,1,Baixio,dominante,
1,3,112,120,125,-30,29.8,1,Baixio,co-dominante,suprimida por cípo
3,4,178,170,125,-30,30.7,1,Baixio,co-dominante,cípo
2,1,268,20,130,-30,20.5,0,Terra Firme,suprimida,quebrada
3,7,339,320,135,-30,15.8,0,Terra Firme,intermediaria,quase co-dominante
1,2,78,70,137,-30,38,1,Terra Firme,co-dominante,suprimida por cípo
3,6,291,270,148,-30,12.6,0,Terra Firme,suprimida,
2,4,105,170,150,-30,12.9,0,Terra Firme,co-dominante,
1,4,166,170,160,-30,21,0,Baixio,intermediaria,
1,5,204,220,160,-30,62.5,1,Baixio,dominante,emergente
1,6,259,270,170,-30,36.1,1,Baixio,co-dominante,quase dominante
2,3,69,120,175,-30,17.2,0,Terra Firme,suprimida,
4,2,23,70,180,-30,12,0,Terra Firme,intermediaria,
2,8,254,370,180,-30,17.3,0,Terra Firme,suprimida,cípo
3,8,356,370,190,-30,15.4,0,Baixio,intermediaria,
2,6,168,270,205,-30,23.1,0,Terra Firme,intermediaria,
3,6,298,270,206,-30,13.1,0,Baixio,intermediaria,
3,7,325,320,218,-30,23.1,0,Baixio,intermediaria,
4,1,2,20,219,-30,11.8,0,Terra Firme,suprimida,
1,4,410,170,220,-30,22.4,1,Baixio,co-dominante,suprimida por cípo
2,5,135,220,230,-30,24.6,1,Terra Firme,intermediaria,
3,2,68,70,230,-30,42.6,1,Baixio,dominante,
3,2,69,70,235,-30,28.3,1,Baixio,co-dominante,
1,3,127,120,235,-30,31.5,1,Baixio,intermediaria,suprimida por cípo
3,8,369,370,235,-30,33,1,Baixio,co-dominante,suprimida por cípo
3,8,362,370,235,-30,37.9,1,Baixio,dominante,suprimida por cípo
3,2,70,70,238,-30,14.1,0,Baixio,intermediaria,
1,3,131,120,245,-30,40.7,1,Baixio,dominante,
3,4,198,170,248,-30,27.1,1,Baixio,co-dominante,dentro da grota
3,1,26,20,250,-30,18.4,1,Baixio,intermediaria,
3,2,395,70,255,-30,13.4,0,Baixio,intermediaria,
3,1,28,20,260,-30,14.5,0,Baixio,intermediaria,
1,4,423,170,260,-30,14.5,0,Baixio,intermediaria,suprimida por cípo
1,8,322,370,260,-30,15.8,0,Baixio,intermediaria,** suprimida por cípo
3,1,394,20,260,-30,16.2,0,Baixio,intermediaria,
2,8,248,370,260,-30,21.7,1,Baixio,co-dominante,não inundada
1,8,326,370,265,-30,26,1,Baixio,co-dominante,**
2,6,162,270,265,-30,26.3,1,Terra Firme,co-dominante,
1,8,321,370,265,-30,28.5,0,Baixio,intermediaria,**
2,6,272,270,268,-30,11.4,0,Terra Firme,intermediaria,
3,1,30,20,270,-30,10.7,0,Baixio,suprimida,
4,1,182,20,270,-30,11,0,Terra Firme,suprimida,
1,8,327,370,270,-30,32.4,1,Baixio,co-dominante,** suprimida por cípo
4,2,37,70,270,-30,40.5,1,Terra Firme,intermediaria,cípo
3,1,37,20,275,-30,29.5,0,Baixio,suprimida,
3,3,102,120,275,-30,37.5,1,Baixio,co-dominante,
1,6,421,270,280,-30,10.7,0,Baixio,intermediaria,
4,5,104,220,280,-30,12.2,0,Terra Firme,suprimida,
4,2,38,70,280,-30,14.6,1,Terra Firme,intermediaria,
3,7,315,320,285,-30,24,1,Terra Firme,co-dominante,
1,1,43,20,285,-30,51.5,1,Terra Firme,dominante,
1,1,407,20,288,-30,19.3,0,Terra Firme,suprimida,
4,5,102,220,300,-30,10.2,0,Terra Firme,suprimida,
4,1,12,20,300,-30,30.1,0,Terra Firme,intermediaria,cípo
4,2,39,70,300,-30,32.2,1,Terra Firme,intermediaria,
1,8,336,370,333,-30,14.3,0,Baixio,suprimida,**
"4,2,43,70,333,-30,25.8,1,Terra Firme,intermediaria,""torta, cípo"""
1,1,50,20,340,-30,17.3,0,Baixio,intermediaria,
1,1,54,20,340,-30,19.6,0,Baixio,intermediaria,suprimida por cípo
3,8,379,370,350,-30,12.6,0,Terra Firme,co-dominante,cípo
3,8,378,370,353,-30,16.7,0,Terra Firme,intermediaria,
1,8,341,370,360,-30,16.8,0,Baixio,intermediaria,**
1,3,143,120,360,-30,22.7,1,Baixio,co-dominante,
3,3,96,120,368,-30,43.5,1,Baixio,dominante,
2,5,147,220,370,-30,36.6,1,Terra Firme,co-dominante,
1,6,245,270,380,-30,13.5,0,Baixio,suprimida,
2,5,149,220,380,-30,23.9,0,Terra Firme,intermediaria,
1,6,244,270,380,-30,24,1,Baixio,intermediaria,
2,4,80,170,385,-30,16,0,Terra Firme,suprimida,
4,1,18,20,388,-30,15,0,Terra Firme,intermediaria,
1,5,224,220,390,-30,21.2,0,Baixio,suprimida,
4,1,16,20,392,-30,25.5,1,Terra Firme,co-dominante,
3,1,45,20,397,-30,20.7,1,Terra Firme,intermediaria,
3,3,93,120,398,-30,31,1,Baixio,intermediaria,
1,6,246,270,398,-30,41.2,1,Baixio,co-dominante,
1,6,247,270,400,-30,28.8,1,Baixio,co-dominante,
2,2,278,71,360,-29,10.2,0,Terra Firme,intermediaria,
3,2,66,72,171,-28,58.4,1,Terra Firme,dominante,
3,8,364,372,228,-28,13.4,0,Baixio,intermediaria,
2,8,234,372,355,-28,11,0,Terra Firme,intermediaria,
1,1,21,23,115,-27,17,0,Baixio,suprimida,
3,5,265,223,123,-27,13.6,0,Terra Firme,co-dominante,clareira
3,5,252,223,174,-27,22,0,Baixio,intermediaria,
2,6,174,273,184,-27,13.6,0,Terra Firme,intermediaria,
2,1,14,23,298,-27,36.6,1,Terra Firme,co-dominante,
1,3,351,124,37,-26,17.6,0,Baixio,intermediaria,
3,5,270,224,40,-26,11.2,0,Baixio,suprimida,
3,8,363,374,233,-26,24.5,1,Baixio,intermediaria,
2,7,224,324,344,-26,23.5,0,Baixio,intermediaria,
3,3,97,124,368,-26,36.6,1,Baixio,co-dominante,medida em cima
2,7,202,325,2,-25,14.5,0,Terra Firme,intermediaria,
1,4,175,175,3,-25,12.6,0,Baixio,suprimida,
1,5,178,225,5,-25,27.7,1,Baixio,co-dominante,
1,4,173,175,10,-25,11.8,0,Baixio,suprimida,
1,4,174,175,10,-25,12,0,Baixio,suprimida,
2,7,198,325,10,-25,12.8,0,Terra Firme,suprimida,
2,5,124,225,10,-25,28,1,Terra Firme,intermediaria,
1,1,2,25,20,-25,20.5,0,Baixio,suprimida,
4,7,186,325,27,-25,13.3,0,Terra Firme,intermediaria,
3,2,47,75,30,-25,22.4,0,Terra Firme,co-dominante,suprimida por cípo
1,8,297,375,30,-25,29.4,0,Terra Firme,co-dominante,** nao produziu este ano/completemente dominada pelo cípo
2,6,193,275,35,-25,17.7,0,Terra Firme,suprimida,cípo
1,3,101,125,40,-25,16.7,0,Baixio,suprimida,
1,2,83,75,40,-25,30.5,1,Terra Firme,co-dominante,
1,8,300,375,45,-25,27,1,Terra Firme,co-dominante,**
3,2,52,75,45,-25,32.9,1,Baixio,co-dominante,suprimida por cípo
3,3,149,125,47,-25,20.2,0,Baixio,intermediaria,
3,5,271,225,48,-25,24.3,1,Baixio,co-dominante,cípo
3,3,151,125,48,-25,41.1,1,Baixio,dominante,
2,2,45,75,65,-25,17.8,0,Terra Firme,suprimida,
2,2,44,75,70,-25,11.4,0,Terra Firme,co-dominante,suprimida por cípo
3,1,10,25,70,-25,27.5,1,Baixio,co-dominante,produziu muito o ano passado
3,6,282,275,75,-25,31.5,1,Terra Firme,co-dominante,suprimida por cípo
2,3,57,125,85,-25,16.1,0,Terra Firme,suprimida,cípo
2,2,42,75,90,-25,13.6,0,Terra Firme,suprimida,
1,4,170,175,90,-25,23,1,Baixio,suprimida,mata pau (apuí) - cípo
2,6,180,275,90,-25,46.2,1,Terra Firme,dominante,
2,6,181,275,97,-25,10.7,0,Terra Firme,suprimida,cípo
2,3,61,125,105,-25,29.9,1,Terra Firme,suprimida,cípo
1,5,189,225,110,-25,27.5,1,Baixio,co-dominante,
2,6,178,275,115,-25,12.4,0,Terra Firme,suprimida,cípo
3,4,176,175,115,-25,46.3,1,Baixio,co-dominante,
2,4,107,175,122,-25,21.6,0,Terra Firme,intermediaria,
2,1,7,25,130,-25,16.8,0,Terra Firme,suprimida,
1,4,191,175,135,-25,36.5,1,Baixio,intermediaria,
1,3,120,125,150,-25,27.2,1,Baixio,co-dominante,
1,6,263,275,150,-25,74,1,Baixio,dominante,foi medido em baixo
1,4,414,175,160,-25,11.5,0,Baixio,suprimida,
3,4,187,175,168,-25,32.5,1,Baixio,co-dominante,
3,3,119,125,170,-25,28.6,1,Baixio,intermediaria,
3,2,65,75,170,-25,40.3,1,Terra Firme,co-dominante,
1,4,368,175,174,-25,34.3,1,Baixio,dominante,
1,8,308,375,175,-25,32.2,1,Terra Firme,co-dominante,** suprimida por cípo
3,5,253,225,176,-25,15.6,0,Baixio,intermediaria,
3,5,251,225,185,-25,22,0,Baixio,intermediaria,
3,8,557,375,188,-25,17.2,0,Baixio,intermediaria,deve ser 357
3,6,294,275,190,-25,51.5,1,Baixio,dominante,
2,2,37,75,194,-25,10.8,0,Terra Firme,suprimida,
2,6,169,275,201,-25,17.3,0,Terra Firme,intermediaria,
4,2,27,75,205,-25,11.3,0,Terra Firme,intermediaria,
3,6,296,275,205,-25,16.8,0,Baixio,co-dominante,
3,6,297,275,210,-25,22,0,Baixio,intermediaria,
2,1,9,25,215,-25,15.5,0,Terra Firme,suprimida,
1,8,314,375,225,-25,31.7,1,Terra Firme,co-dominante,**
1,8,313,375,230,-25,25,0,Terra Firme,intermediaria,**
3,6,299,275,241,-25,25.6,1,Baixio,co-dominante,suprimida por cípo
2,3,263,125,250,-25,13,0,Terra Firme,suprimida,
1,8,317,375,250,-25,13.6,0,Baixio,suprimida,**
2,8,250,375,250,-25,21.8,1,Baixio,intermediaria,
2,7,215,325,250,-25,39.1,1,Baixio,co-dominante,parcialmente
3,5,232,225,251,-25,10,0,Terra Firme,intermediaria,
3,5,234,225,255,-25,29.8,1,Terra Firme,intermediaria,
1,4,157,175,260,-25,30.2,1,Baixio,co-dominante,suprimida por cípo
4,4,60,175,260,-25,39,1,Terra Firme,intermediaria,
3,2,74,75,265,-25,20.3,0,Baixio,intermediaria,
1,2,409,75,270,-25,14.2,0,Baixio,suprimida,
"4,5,108,225,270,-25,16,0,Terra Firme,suprimida,""quebrada, cípo"""
1,1,41,25,282,-25,15,0,Terra Firme,co-dominante,
1,1,40,25,285,-25,28.7,1,Terra Firme,dominante,perto da clareira
2,8,247,375,286,-25,22.5,1,Baixio,intermediaria,não inundada
2,8,245,375,290,-25,14.8,1,Terra Firme,intermediaria,
4,5,103,225,295,-25,13.4,0,Terra Firme,suprimida,
"1,8,330,375,295,-25,21,0,Baixio,intermediaria,""** cípo parcial, suprimida por cípo"""
2,2,34,75,310,-25,31.7,1,Terra Firme,intermediaria,
2,8,244,375,310,-25,34.4,1,Terra Firme,suprimida,
1,8,386,375,315,-25,25.9,1,Transição,suprimida,
3,8,374,375,315,-25,29.3,1,Terra Firme,co-dominante,
4,6,184,275,320,-25,51.6,1,Baixio,dominante,
4,4,81,175,330,-25,20.8,1,Transição,intermediaria,
4,2,41,75,330,-25,48.9,1,Terra Firme,co-dominante,
4,2,42,75,333,-25,23.2,1,Terra Firme,intermediaria,
2,8,238,375,338,-25,14.1,0,Terra Firme,intermediaria,
2,7,223,325,339,-25,19.5,0,Baixio,intermediaria,cípo
4,2,44,75,340,-25,32.2,1,Terra Firme,co-dominante,
3,5,224,225,340,-25,45.7,1,Terra Firme,co-dominante,
2,5,145,225,345,-25,25.6,1,Terra Firme,intermediaria,
4,5,90,225,350,-25,27.1,1,Baixio,co-dominante,suprimida por cípos
1,5,219,225,350,-25,53,1,Baixio,co-dominante,
3,5,223,225,370,-25,43.3,1,Baixio,co-dominante,
4,4,86,175,375,-25,32.8,1,Terra Firme,co-dominante,
2,4,83,175,375,-25,52,1,Terra Firme,dominante,intermediaria por cípos
1,8,418,375,380,-25,11.6,0,Terra Firme,suprimida,
2,4,79,175,394,-25,34.5,1,Terra Firme,co-dominante,suprimida por cípos
3,3,92,125,396,-25,13.3,0,Baixio,intermediaria,
3,4,217,175,399,-25,11.5,0,Baixio,intermediaria,
1,6,417,276,50,-24,21.8,1,Baixio,intermediaria,
3,6,284,276,85,-24,16.8,0,Baixio,intermediaria,medida em cima da bota/curva
3,4,191,176,188,-24,27.8,1,Baixio,co-dominante,
1,5,217,226,350,-24,36.7,1,Baixio,intermediaria,
2,7,229,326,371,-24,32.6,1,Baixio,intermediaria,
2,7,199,327,20,-23,19.3,0,Terra Firme,intermediaria,cípo
2,7,200,327,25,-23,11.7,0,Terra Firme,intermediaria,
4,7,185,327,25,-23,13.1,0,Terra Firme,intermediaria,
3,5,274,227,25,-23,16.4,0,Baixio,suprimida,
3,3,153,127,44,-23,28.7,1,Baixio,co-dominante,
3,7,335,327,200,-23,28,1,Baixio,co-dominante,suprimida por cípo
3,8,368,377,238,-23,31.5,0,Baixio,co-dominante,suprimida por cípo
1,8,337,377,333,-23,46.6,1,Baixio,co-dominante,** tronco torto
1,5,218,227,350,-23,16.4,0,Baixio,suprimida,
3,3,155,128,41,-22,15.8,1,Baixio,intermediaria,
3,3,154,128,42,-22,19.9,1,Baixio,intermediaria,
1,1,15,28,70,-22,18.6,0,Baixio,suprimida,
3,6,283,278,75,-22,27.4,1,Transição,co-dominante,suprimida por cípo
2,2,38,78,182,-22,10.4,0,Terra Firme,intermediaria,quase suprimida
3,2,82,78,342,-22,15.8,0,Baixio,suprimida,ilha
2,4,87,178,360,-22,12.3,0,Terra Firme,suprimida,
2,7,228,328,368,-22,29.7,1,Baixio,intermediaria,
2,5,146,229,345,-21,19.5,0,Terra Firme,suprimida,
1,8,420,379,380,-21,13.3,0,Terra Firme,intermediaria,
1,8,296,380,1,-20,25,1,Terra Firme,co-dominante,**
2,7,201,330,5,-20,16.5,0,Terra Firme,intermediaria,
2,6,194,280,20,-20,15.2,0,Terra Firme,intermediaria,
2,4,118,180,20,-20,15.5,0,Terra Firme,suprimida,
2,4,117,180,25,-20,15.2,0,Terra Firme,intermediaria,
1,1,6,30,25,-20,25,1,Baixio,intermediaria,
2,1,2,30,28,-20,26,1,Terra Firme,intermediaria,
2,6,192,280,40,-20,19.4,0,Terra Firme,intermediaria,suprimida por cípos
3,6,278,280,40,-20,33,1,Terra Firme,co-dominante,suprimida por cípo
2,5,128,230,45,-20,14.5,0,Terra Firme,intermediaria,
1,2,401,80,45,-20,38.4,1,Baixio,co-dominante,
3,2,55,80,50,-20,25.8,0,Baixio,co-dominante,suprimida por cípo
1,3,100,130,50,-20,48,1,Baixio,co-dominante,suprimida por cípo
2,6,187,280,55,-20,14.9,0,Terra Firme,intermediaria,suprimida por cípos
1,6,268,280,60,-20,20.5,1,Baixio,co-dominante,
1,1,13,30,70,-20,20.4,0,Baixio,intermediaria,com cípo-pudia ser suprimida
2,4,114,180,70,-20,29.5,1,Terra Firme,co-dominante,suprimida por cípos
2,7,204,330,70,-20,33,1,Terra Firme,dominante,tiramos o cípo estrangulando a árvore
3,3,143,130,74,-20,15.6,0,Baixio,suprimida,medida em baixio do normal
3,4,165,180,78,-20,26.2,1,Baixio,co-dominante,suprimida por cípo
1,1,17,30,80,-20,35.2,1,Terra Firme,co-dominante,
1,3,105,130,90,-20,38.8,1,Baixio,dominante,com flores
2,6,182,280,97,-20,10.5,0,Terra Firme,suprimida,cípo ao lado da balseira (bagunca de cípo)
1,2,423,80,100,-20,11.6,0,Baixio,suprimida,
3,1,14,30,100,-20,18,0,Baixio,suprimida,quebrou e rebrotou de novo
1,1,20,30,100,-20,35.8,1,Terra Firme,co-dominante,
1,5,188,230,100,-20,46.4,1,Baixio,co-dominante,
2,3,62,130,105,-20,16.9,0,Terra Firme,suprimida,cípo em baixo
3,4,175,180,110,-20,28.1,1,Baixio,co-dominante,
3,2,58,80,115,-20,25.7,0,Terra Firme,co-dominante,suprimida por cípo
1,1,346,30,120,-20,14.5,0,Terra Firme,suprimida,
1,5,190,230,120,-20,19.5,0,Baixio,co-dominante,
2,5,130,230,120,-20,30.5,1,Terra Firme,dominante,cípo
2,4,106,180,130,-20,16.5,0,Terra Firme,intermediaria,
1,5,415,230,130,-20,28.6,1,Baixio,dominante,
1,1,32,30,145,-20,48,1,Terra Firme,co-dominante,suprimida por cípo
1,3,119,130,150,-20,16.5,0,Baixio,suprimida,
3,4,180,180,150,-20,33.1,1,Baixio,co-dominante,
1,4,167,180,160,-20,27.5,1,Baixio,co-dominante,
3,8,352,380,162,-20,41.4,1,Baixio,co-dominante,
1,4,163,180,170,-20,20,0,Baixio,suprimida,
3,8,353,380,171,-20,11.1,0,Baixio,suprimida,
1,8,309,380,172,-20,22.7,0,Terra Firme,intermediaria,** cípo
3,7,338,330,184,-20,12,0,Baixio,suprimida,
2,1,8B,30,190,-20,27,1,Terra Firme,intermediaria,
3,5,247,230,190,-20,29.5,1,Baixio,co-dominante,suprimida por cípo
3,4,192,180,198,-20,40.4,1,Baixio,dominante,
1,3,124,130,200,-20,21,0,Baixio,intermediaria,cípo
1,5,208,230,200,-20,38.8,1,Baixio,co-dominante,
4,7,131,330,201,-20,25,1,Terra Firme,intermediaria,
3,5,240,230,202,-20,33.7,1,Baixio,co-dominante,
3,4,196,180,217,-20,31.5,1,Baixio,suprimida,
3,3,110,130,220,-20,39.8,1,Baixio,co-dominante,
3,2,382,80,230,-20,24,1,Baixio,co-dominante,suprimida por cípo
1,4,160,180,230,-20,26.2,0,Baixio,suprimida,quebrada e rebrotada
"4,2,26,80,230,-20,30.7,0,Terra Firme,suprimida,""não tem copa, quebrada com rebrotas novas, estava produzindo muito"""
3,4,195,180,233,-20,36.4,1,Baixio,dominante,
2,5,137,230,240,-20,11.5,0,Terra Firme,suprimida,
1,4,155,180,240,-20,24.2,0,Baixio,intermediaria,
3,8,367,380,243,-20,15,0,Transição,intermediaria,
1,2,67,80,250,-20,12.8,0,Terra Firme,intermediaria,
3,7,324,330,250,-20,23.3,0,Baixio,dominante,suprimida por cípo
1,4,156,180,250,-20,23.5,1,Baixio,co-dominante,suprimida por cípo
1,1,348,30,257,-20,26.1,0,Terra Firme,dominante,clareira
2,6,165,280,260,-20,33.5,1,Terra Firme,co-dominante,
4,4,63,180,265,-20,16,0,Terra Firme,intermediaria,
2,1,11,30,268,-20,16.7,0,Terra Firme,suprimida,
"1,8,325,380,270,-20,17.2,0,Baixio,intermediaria,""** suprimida por cípo, quase codominante"""
4,4,62,180,270,-20,18.3,0,Terra Firme,intermediaria,
1,3,135,130,270,-20,26.5,1,Baixio,co-dominante,
3,5,231,230,275,-20,10.9,0,Terra Firme,suprimida,
3,5,228,230,275,-20,19.5,0,Terra Firme,intermediaria,
2,3,73,130,278,-20,16.8,0,Terra Firme,co-dominante,
1,4,412,180,280,-20,15.5,0,Baixio,suprimida,
1,3,136,130,280,-20,23.3,1,Baixio,intermediaria,
3,8,371,380,285,-20,11.1,0,Terra Firme,intermediaria,cípo
1,1,42,30,285,-20,44.9,1,Terra Firme,dominante,
3,8,372,380,289,-20,31.1,1,Terra Firme,co-dominante,
1,3,140,130,290,-20,19.5,1,Baixio,intermediaria,suprimida por cípo
4,4,74,180,300,-20,17.6,1,Transição,intermediaria,
2,1,15,30,305,-20,35.6,0,Terra Firme,co-dominante,
4,7,136,330,310,-20,13.3,0,Baixio,suprimida,10% luz
4,5,98,230,310,-20,23.6,1,Terra Firme,intermediaria,
3,2,79,80,315,-20,32.1,1,Baixio,co-dominante,ilha
2,4,91,180,320,-20,39.7,1,Terra Firme,co-dominante,
2,4,92,180,325,-20,24.1,0,Terra Firme,intermediaria,
2,6,160,280,325,-20,65,1,Terra Firme,dominante,
1,1,51,30,330,-20,25,0,Baixio,co-dominante,suprimida por cípo
3,2,80,80,335,-20,27.7,0,Baixio,suprimida,ilha
3,2,81,80,341,-20,26.1,1,Baixio,intermediaria,ilha
1,3,362,130,350,-20,10.5,0,Transição,suprimida,cípo
1,4,150,180,350,-20,11.2,0,Baixio,suprimida,
"4,5,91,230,350,-20,38.2,1,Transição,co-dominante,""suprimida por cípos, muito"""
2,2,30,80,355,-20,18.4,0,Terra Firme,intermediaria,
3,1,43,30,365,-20,34.3,1,Terra Firme,co-dominante,
1,3,359,130,370,-20,19.8,0,Terra Firme,co-dominante,possibly in sub-p 4
1,3,145,130,370,-20,21,0,Terra Firme,intermediaria,vai produzir este ano?
1,3,144,130,370,-20,28.2,1,Terra Firme,co-dominante,
2,1,21,30,370,-20,33,1,Terra Firme,co-dominante,suprimida por cípo
3,5,407,230,370,-20,41.3,1,Transição,co-dominante,
"1,8,419,380,375,-20,16.5,0,Terra Firme,intermediaria,""grota, Baixio?"""
1,8,382,380,380,-20,10.7,0,Terra Firme,suprimida,
1,5,225,230,380,-20,41,1,Baixio,suprimida,
1,6,251,280,385,-20,14,0,Baixio,suprimida,
2,5,151,230,390,-20,31.8,1,Terra Firme,intermediaria,
1,3,146,130,390,-20,37.5,1,Terra Firme,co-dominante,
4,7,147,330,392,-20,14.4,0,Baixio,suprimida,
2,5,150,230,397,-20,40.5,1,Terra Firme,dominante,
4,1,19,30,400,-20,29.7,1,Terra Firme,suprimida,
3,4,186,181,162,-19,15.1,0,Baixio,intermediaria,
2,8,237,381,335,-19,37.5,1,Terra Firme,co-dominante,a cima de sapopema
3,2,63,82,143,-18,22.1,0,Terra Firme,suprimida,
3,4,197,182,215,-18,12.6,0,Baixio,suprimida,
2,7,227,332,386,-18,25.1,1,Baixio,intermediaria,
2,3,54,133,60,-17,18.4,0,Terra Firme,suprimida,cípo
1,1,404,33,73,-17,11.8,0,Baixio,co-dominante,
3,3,140,133,90,-17,18.9,0,Baixio,intermediaria,medida em cima
2,3,66,133,122,-17,13.5,0,Terra Firme,intermediaria,
3,2,62,83,147,-17,18,0,Terra Firme,intermediaria,
1,8,312,383,235,-17,25.3,0,Terra Firme,intermediaria,** suprimida por cípo 
2,6,159,283,350,-17,53.1,1,Terra Firme,dominante,
3,5,241,234,203,-16,35.1,1,Baixio,co-dominante,suprimida por cípo
1,3,95,135,0,-15,26.8,1,Baixio,intermediaria,
3,1 ou 2,380,385,2,-15,29.2,1,Terra Firme,co-dominante,
2,4,121,185,4,-15,23.8,0,Terra Firme,suprimida,cípo
2,6,196,285,6,-15,14.3,0,Terra Firme,suprimida,medimos a brota predominante (com placas)
3,6,277,285,10,-15,15.9,0,Terra Firme,suprimida,
3,1,4,35,17,-15,11,0,Baixio,intermediaria,
1,5,181,235,40,-15,24.5,1,Baixio,suprimida,
1,6,271,285,40,-15,31,1,Baixio,co-dominante,
3,4,162,185,40,-15,49,0,Terra Firme,dominante,cípo quebrou o galho dela/estava produzindo
2,6,191,285,45,-15,19.6,0,Terra Firme,co-dominante,clareira/bifurcada-2 brotas
2,1,5,35,45,-15,34.2,1,Terra Firme,co-dominante,
1,3,99,135,50,-15,15.4,0,Baixio,intermediaria,
